accuracy,precision,recall,f1,window,threshold
0.8772321428571429,0.40145985401459855,0.39855072463768115,0.4,48,2.5
0.8712797619047619,0.3394495412844037,0.26811594202898553,0.29959514170040485,32,2.5
0.8965773809523809,0.4915254237288136,0.21014492753623187,0.29441624365482233,48,3.0
0.8735119047619048,0.3181818181818182,0.2028985507246377,0.24778761061946902,24,2.5
0.8995535714285714,0.5428571428571428,0.13768115942028986,0.21965317919075145,48,3.5
0.8958333333333334,0.475,0.13768115942028986,0.21348314606741572,32,3.0
0.8787202380952381,0.288135593220339,0.12318840579710146,0.17258883248730963,16,2.5
0.8958333333333334,0.4666666666666667,0.10144927536231885,0.16666666666666666,24,3.0
0.8988095238095238,0.5416666666666666,0.09420289855072464,0.16049382716049382,32,3.5
0.8980654761904762,0.52,0.09420289855072464,0.15950920245398773,48,4.0
0.8973214285714286,0.5,0.050724637681159424,0.09210526315789473,16,3.5
0.8965773809523809,0.4666666666666667,0.050724637681159424,0.0915032679738562,16,3.0
0.8965773809523809,0.4666666666666667,0.050724637681159424,0.0915032679738562,24,3.5
0.8958333333333334,0.42857142857142855,0.043478260869565216,0.07894736842105263,24,4.0
0.8958333333333334,0.42857142857142855,0.043478260869565216,0.07894736842105263,32,4.0
0.8973214285714286,0.0,0.0,0.0,16,4.0
