time_index,load_mw,voltage_kv,frequency_hz,solar_mw,wind_mw,hydro_mw,thermal_mw,reactive_power_mvar,power_factor,demand_forecast_mw,import_mw,export_mw,line_temp_c,transformer_load_pct,substation_pressure_kpa,frequency_setpoint_hz,frequency_error_mhz,var_comp_alert,humidity_pct,ambient_temp_c,wind_speed_ms,irradiance_wm2,barometric_kpa,rainfall_mm,pmu_angle_deg,pmu_magnitude,battery_soc_pct,ev_charging_kw,grid_loss_pct,cyber_signal_offset
16,0.33618304,0.37763703,0.6720162,0.14822191,0.5311256,0.7896736,0.7879781,0.4205705,0.4209799,0.28146252,0.3847828,0.567683,0.310377,0.3762336,0.80914736,0.789793,0.7826552,0.84911966,0.45709628,0.20251171,0.54493403,0.05107271,0.79095066,0.7069585,0.79147613,0.7872662,0.34351465,0.34644967,0.789987,0.67695075
17,0.33571878,0.37751704,0.6720685,0.1483819,0.53135055,0.789939,0.7880514,0.42093307,0.42121068,0.28202838,0.38333946,0.5672869,0.31085455,0.37577137,0.80872446,0.7910878,0.7827522,0.8493574,0.45710295,0.20225649,0.54432446,0.050649293,0.7905876,0.7067741,0.7919519,0.78660923,0.3433039,0.34749484,0.7903822,0.67702895
18,0.3351396,0.37728786,0.6723554,0.14833485,0.5306821,0.79061395,0.78742385,0.421516,0.42154193,0.2825319,0.3830579,0.5669573,0.31065312,0.37515488,0.80783504,0.7920148,0.7835994,0.84938115,0.45774555,0.2024602,0.5432677,0.04974774,0.79055464,0.7060944,0.7926466,0.7870996,0.3432295,0.34771258,0.79126656,0.6757955
19,0.33454558,0.3770463,0.67212725,0.14796197,0.5310786,0.7908375,0.78765565,0.42189854,0.42157194,0.28326327,0.38260195,0.56655127,0.3109947,0.37546062,0.8075185,0.7932049,0.7836012,0.8484758,0.45753232,0.20287098,0.54286367,0.04845056,0.7911505,0.7085385,0.79393655,0.7864815,0.34273592,0.3473244,0.79040384,0.6755526
20,0.33379555,0.37659645,0.67215335,0.14786775,0.5303582,0.79110897,0.7880507,0.42291722,0.42214084,0.2837232,0.3808561,0.56639785,0.31130916,0.37588224,0.8069246,0.7930913,0.7837959,0.8480009,0.45777366,0.20285903,0.5433024,0.047165044,0.79080397,0.7080924,0.794719,0.78595614,0.34298038,0.34787354,0.7903123,0.6756275
21,0.33263922,0.37571493,0.67245275,0.14775477,0.53098816,0.79061466,0.78831255,0.42306784,0.422055,0.2839138,0.37792796,0.5665095,0.31155193,0.37614065,0.8066667,0.79353964,0.7844515,0.8472701,0.45818081,0.20315161,0.5434298,0.04611053,0.7900067,0.70761156,0.79467624,0.7843315,0.34382018,0.34820652,0.79008657,0.6751466
22,0.33189237,0.3744701,0.6732226,0.14760037,0.5319606,0.79069185,0.7879143,0.42361513,0.42243692,0.2842119,0.3743193,0.5664395,0.31180754,0.37621257,0.8064612,0.7942948,0.7854329,0.8482588,0.45828766,0.20318669,0.5439189,0.045775328,0.78998166,0.7073174,0.7946509,0.7854449,0.34444448,0.3485848,0.79009575,0.67563826
23,0.33055684,0.37299952,0.67454344,0.14759643,0.5326251,0.79048705,0.787648,0.42323145,0.42196253,0.28371885,0.36625314,0.5675952,0.3114494,0.37688535,0.80686384,0.7952068,0.78748953,0.84837043,0.4577883,0.20351726,0.5440779,0.046575204,0.7881473,0.7081759,0.79570794,0.7854412,0.34530914,0.34798372,0.7907939,0.67686075
24,0.32998392,0.37079412,0.6746516,0.14777681,0.53298813,0.7910316,0.7872369,0.4237244,0.4223081,0.28348583,0.36238053,0.5677158,0.31137043,0.37725893,0.80689824,0.7944939,0.7878408,0.8482487,0.4577055,0.20356672,0.5446199,0.048160996,0.7885526,0.70893586,0.79536986,0.78588516,0.34615484,0.34802106,0.79033405,0.67766625
25,0.32972196,0.36825135,0.6748768,0.14789078,0.53483164,0.79074544,0.78766394,0.42393225,0.4222479,0.28348714,0.35914978,0.5681291,0.3111,0.37753826,0.80689794,0.7943749,0.7876722,0.8488487,0.457648,0.20344839,0.5452922,0.049978364,0.7881377,0.70897853,0.79500157,0.7862537,0.34638986,0.34799722,0.7901055,0.6786423
26,0.3294406,0.3657096,0.67489487,0.14834319,0.53596497,0.790269,0.7876713,0.4249549,0.4230038,0.28322542,0.35714945,0.5685078,0.3109869,0.37777624,0.80760455,0.79454494,0.78726965,0.8493148,0.4573704,0.20326234,0.5464268,0.051786825,0.78897834,0.70923024,0.7943217,0.78684837,0.34653378,0.34821954,0.78965086,0.6788987
27,0.32956195,0.36312178,0.6760755,0.14860825,0.53743464,0.7904849,0.78728557,0.42588413,0.4235916,0.2831922,0.3539589,0.5692855,0.31114113,0.37817562,0.8076689,0.7946052,0.7889173,0.8497841,0.45726225,0.20347387,0.5477825,0.053455025,0.78892505,0.709731,0.79406655,0.7864846,0.34671968,0.3485136,0.78964233,0.678765
28,0.32961544,0.36065647,0.6768642,0.14909942,0.5388189,0.79176044,0.7878846,0.42617178,0.4237172,0.282683,0.35384038,0.5691252,0.31159735,0.37859276,0.8067239,0.7948489,0.7901161,0.85061246,0.45572966,0.20301382,0.5471184,0.054793794,0.7885994,0.71004647,0.7932958,0.78681123,0.34650576,0.34860468,0.7902302,0.6784771
29,0.3298863,0.35853845,0.67627424,0.14983653,0.5403103,0.79155153,0.78887504,0.42675593,0.4241962,0.28246942,0.3544155,0.56925356,0.31200564,0.37888166,0.80644155,0.7948209,0.78975284,0.85115707,0.45564157,0.2024779,0.5473855,0.05601742,0.78866106,0.71077055,0.79287606,0.7862799,0.34621057,0.34819153,0.79094946,0.6777516
30,0.32987547,0.35690635,0.67587334,0.15051414,0.5399342,0.7907765,0.788982,0.42719114,0.4246796,0.28234383,0.35556278,0.5687868,0.31189117,0.37893102,0.8056168,0.79397476,0.79032594,0.851886,0.4556905,0.20255044,0.5479688,0.056832343,0.7867573,0.7116255,0.7929845,0.787093,0.3458036,0.3479784,0.7907613,0.677119
31,0.32986715,0.35644078,0.67565376,0.15145817,0.5394437,0.79052603,0.78879464,0.42615274,0.42394456,0.28212723,0.35422876,0.5691356,0.3116496,0.3782763,0.805548,0.7940479,0.7908716,0.8512889,0.4561579,0.20216227,0.54799455,0.057626847,0.7867936,0.71233916,0.7930187,0.7866376,0.3455757,0.34800607,0.7910544,0.6764275
32,0.3295188,0.35674205,0.6743261,0.15247256,0.539324,0.79064685,0.7894253,0.42601818,0.42430615,0.2819856,0.35616612,0.56886476,0.31145498,0.37817267,0.80568683,0.7941659,0.7899296,0.8506665,0.4566745,0.20239712,0.5479804,0.058504675,0.7865768,0.71301585,0.7922856,0.7859406,0.3456218,0.3481626,0.79090595,0.6754063
33,0.32909715,0.35786378,0.6731065,0.15350948,0.5394922,0.7907172,0.78849137,0.42610803,0.4248898,0.2821543,0.35811177,0.56842303,0.31159782,0.3775282,0.80446273,0.7943151,0.78949136,0.85156953,0.4572155,0.20290194,0.54842114,0.05965822,0.7860951,0.7138597,0.7921008,0.7857581,0.34486973,0.34858185,0.791816,0.67473197
34,0.32903567,0.35929453,0.67040783,0.1547718,0.53815717,0.791994,0.78852165,0.42616022,0.42558944,0.28260076,0.35983327,0.5684098,0.31262368,0.37750947,0.8049134,0.79423934,0.78779703,0.8510006,0.45768458,0.2036308,0.54816353,0.061112374,0.78686345,0.71410537,0.79285985,0.78621835,0.3449141,0.3491333,0.7928959,0.67360795
35,0.32904997,0.36063188,0.6689253,0.15608951,0.53668916,0.79196113,0.7881195,0.4261741,0.42630237,0.28306112,0.3610678,0.5688479,0.312887,0.37731022,0.8044994,0.79405004,0.7882946,0.85165876,0.45783585,0.20456076,0.54811436,0.06250308,0.78622884,0.7147222,0.7924876,0.78527147,0.34459412,0.34988385,0.79332167,0.6722158
36,0.3288094,0.36127198,0.6661053,0.15767276,0.53673273,0.79221404,0.78776604,0.42665085,0.42740265,0.28334072,0.3617883,0.569378,0.3132914,0.37697834,0.80452514,0.7948401,0.7867778,0.8523032,0.45842496,0.20507005,0.5474373,0.06367384,0.78551316,0.71535224,0.79202,0.78410923,0.34448287,0.35022512,0.79179454,0.670368
37,0.32906142,0.36171228,0.66451603,0.15901361,0.5366606,0.79370064,0.7884561,0.4265366,0.42784703,0.2836202,0.36209613,0.5704497,0.3133925,0.37662286,0.8045217,0.7956107,0.78666574,0.8537212,0.458468,0.20510331,0.5470356,0.06470728,0.78537583,0.7160129,0.7922791,0.783486,0.34462,0.35059804,0.7912835,0.6681672
