fpr,tpr,threshold
0.0,0.0,inf
0.0008628127696289905,0.0,0.9643858
0.029335634167385678,0.0,0.8731446
0.029335634167385678,0.007246376811594203,0.87230396
0.03278688524590164,0.007246376811594203,0.8609886
0.03278688524590164,0.014492753623188406,0.8502415
0.04918032786885246,0.014492753623188406,0.81751186
0.04918032786885246,0.021739130434782608,0.81729823
0.056082830025884385,0.021739130434782608,0.80399495
0.056082830025884385,0.028985507246376812,0.795242
0.056945642795513375,0.028985507246376812,0.79151696
0.056945642795513375,0.036231884057971016,0.7855503
0.06902502157031924,0.036231884057971016,0.77502555
0.06902502157031924,0.043478260869565216,0.7702928
0.06988783433994823,0.043478260869565216,0.7685849
0.06988783433994823,0.050724637681159424,0.75855225
0.07075064710957722,0.050724637681159424,0.75370175
0.07075064710957722,0.057971014492753624,0.74723595
0.07333908541846419,0.057971014492753624,0.73524314
0.07333908541846419,0.06521739130434782,0.7315912
0.07592752372735116,0.06521739130434782,0.7309868
0.07592752372735116,0.07246376811594203,0.7291065
0.090595340811044,0.07246376811594203,0.7142685
0.090595340811044,0.07971014492753623,0.71387094
0.0992234685073339,0.07971014492753623,0.7058628
0.0992234685073339,0.08695652173913043,0.7056756
0.10785159620362382,0.08695652173913043,0.69969827
0.10785159620362382,0.09420289855072464,0.69953775
0.10871440897325281,0.09420289855072464,0.6991703
0.10871440897325281,0.10869565217391304,0.6972979
0.11647972389991372,0.10869565217391304,0.6929369
0.11647972389991372,0.11594202898550725,0.69187707
0.15530629853321828,0.11594202898550725,0.6764202
0.15530629853321828,0.12318840579710146,0.67642003
0.16134598792062121,0.12318840579710146,0.67410016
0.16134598792062121,0.13768115942028986,0.673861
0.1630716134598792,0.13768115942028986,0.6737259
0.1630716134598792,0.14492753623188406,0.67353994
0.16652286453839515,0.14492753623188406,0.672924
0.16652286453839515,0.15217391304347827,0.6728563
0.1725625539257981,0.15217391304347827,0.6708362
0.1725625539257981,0.15942028985507245,0.67067194
0.17946505608283003,0.15942028985507245,0.6687112
0.17946505608283003,0.16666666666666666,0.6684995
0.18636755823986195,0.16666666666666666,0.6654324
0.18636755823986195,0.18115942028985507,0.6649399
0.1984469370146678,0.18115942028985507,0.6592148
0.1984469370146678,0.18840579710144928,0.65874785
0.20621225194132872,0.18840579710144928,0.65365577
0.20621225194132872,0.1956521739130435,0.65362597
0.20966350301984468,0.1956521739130435,0.65119386
0.20966350301984468,0.2028985507246377,0.65052897
0.21311475409836064,0.2028985507246377,0.6482992
0.21311475409836064,0.21014492753623187,0.6481548
0.21484037963761865,0.21014492753623187,0.6465985
0.21484037963761865,0.21739130434782608,0.6461893
0.21742881794650562,0.21739130434782608,0.6451773
0.21742881794650562,0.2246376811594203,0.6444098
0.22346850733390855,0.2246376811594203,0.6413881
0.22346850733390855,0.2318840579710145,0.64128023
0.22433132010353754,0.2318840579710145,0.6406335
0.22433132010353754,0.2391304347826087,0.6397165
0.23468507333908542,0.2391304347826087,0.63419163
0.23468507333908542,0.2536231884057971,0.6335837
0.23986194995685936,0.2536231884057971,0.6323902
0.23986194995685936,0.2608695652173913,0.6321451
0.24762726488352027,0.2608695652173913,0.6276987
0.24762726488352027,0.2753623188405797,0.62737167
0.24935289042277825,0.2753623188405797,0.6271329
0.24935289042277825,0.2826086956521739,0.62713027
0.25021570319240727,0.2826086956521739,0.62695676
0.25021570319240727,0.2898550724637681,0.62653434
0.25194132873166525,0.2898550724637681,0.6252993
0.25194132873166525,0.2971014492753623,0.6246662
0.2528041415012942,0.2971014492753623,0.62415403
0.2528041415012942,0.30434782608695654,0.6240477
0.2614322691975841,0.30434782608695654,0.6214228
0.2614322691975841,0.32608695652173914,0.6206699
0.2631578947368421,0.32608695652173914,0.6202951
0.2631578947368421,0.3333333333333333,0.6199951
0.26747195858498707,0.3333333333333333,0.6192215
0.26747195858498707,0.34782608695652173,0.6188999
0.270060396893874,0.34782608695652173,0.61868954
0.270060396893874,0.35507246376811596,0.6185487
0.27351164797238997,0.35507246376811596,0.6175186
0.27351164797238997,0.36231884057971014,0.6172769
0.2830025884383089,0.36231884057971014,0.6134844
0.2830025884383089,0.3695652173913043,0.6133866
0.2924935289042278,0.3695652173913043,0.6116725
0.2924935289042278,0.37681159420289856,0.61166364
0.29508196721311475,0.37681159420289856,0.60928893
0.29508196721311475,0.38405797101449274,0.608894
0.31406384814495253,0.38405797101449274,0.6054724
0.31406384814495253,0.391304347826087,0.60535777
0.33908541846419327,0.391304347826087,0.5997687
0.33908541846419327,0.39855072463768115,0.59937704
0.35202761000862814,0.39855072463768115,0.5961496
0.35202761000862814,0.4057971014492754,0.59611696
0.3554788610871441,0.4057971014492754,0.59575343
0.3554788610871441,0.41304347826086957,0.59555894
0.3744607420189819,0.41304347826086957,0.5938731
0.3744607420189819,0.42028985507246375,0.5938241
0.3925798101811907,0.42028985507246375,0.59106964
0.3925798101811907,0.427536231884058,0.5910199
0.4029335634167386,0.427536231884058,0.5901816
0.4029335634167386,0.43478260869565216,0.5898674
0.4115616911130285,0.43478260869565216,0.58856523
0.4115616911130285,0.4420289855072464,0.5882549
0.4227782571182053,0.4420289855072464,0.58680815
0.4227782571182053,0.4492753623188406,0.5865323
0.4296807592752373,0.4492753623188406,0.5847103
0.4296807592752373,0.45652173913043476,0.5845365
0.43485763589301124,0.45652173913043476,0.58407885
0.43485763589301124,0.463768115942029,0.5840536
0.44089732528041414,0.463768115942029,0.5834156
0.44089732528041414,0.4782608695652174,0.583204
0.44176013805004316,0.4782608695652174,0.582967
